"Laps","Time","Cumulative Time","Distance km","Avg Pace min/km","Avg GAP min/km","Avg HR bpm","Max HR bpm","Total Ascent m","Total Descent m","Avg Power W","Avg W/kg","Max Power W","Max W/kg","Avg Run Cadence spm","Avg Ground Contact Time ms","Avg GCT Balance %","Avg Stride Length m","Avg Vertical Oscillation cm","Avg Vertical Ratio %","Calories C","Avg Temperature","Best Pace min/km","Max Run Cadence spm","Moving Time","Avg Moving Pace min/km","Avg Step Speed Loss cm/s","Avg Step Speed Loss Percent %"
"1","7:32.6","7:32.6","1.00","7:33","7:35","102","111","1","1","232","3.01","445","5.78","158","298","--","0.81","8.2","10.1","68","--","2:53","183","7:32.6","7:33","--","--"
"2","7:13.5","14:46","1.00","7:13","7:13","120","128","4","5","252","3.27","293","3.81","160","297","--","0.87","8.5","9.8","77","--","6:47","167","7:13","7:13","--","--"
"3","7:06.0","21:52","1.00","7:06","7:06","134","140","7","5","291","3.78","378","4.91","159","298","--","0.88","8.6","9.8","79","--","6:40","167","7:06","7:06","--","--"
"4","7:04.4","28:57","1.00","7:04","7:04","138","141","1","3","283","3.68","315","4.09","159","296","--","0.89","8.6","9.7","77","--","6:47","167","7:04.4","7:04","--","--"
"5","6:59.2","35:56","1.00","6:59","6:56","142","155","2","2","290","3.77","464","6.03","157","302","--","0.91","8.7","9.6","79","--","4:16","192","6:59","6:59","--","--"
"6","6:54.1","42:50","1.00","6:54","7:02","144","157","2","3","258","3.35","507","6.58","161","293","--","0.88","8.4","9.6","79","--","3:23","198","6:54","6:54","--","--"
"7","0:13.1","43:03","0.03","6:21","4:56","158","161","0","0","329","4.27","432","5.61","166","224","--","1.07","7.4","7.2","3","--","3:59","196","0:12","5:48","--","--"
"Summary","43:03","43:03","6.03","7:08","7:08","130","161","18","18","268","3.48","507","6.58","159","297","--","0.87","8.5","9.8","462","--","2:53","198","43:01","7:08","--","--"
