"Laps","Time","Cumulative Time","Distance km","Avg Pace min/km","Avg GAP min/km","Avg HR bpm","Max HR bpm","Total Ascent m","Total Descent m","Avg Power W","Avg W/kg","Max Power W","Max W/kg","Avg Run Cadence spm","Avg Ground Contact Time ms","Avg GCT Balance %","Avg Stride Length m","Avg Vertical Oscillation cm","Avg Vertical Ratio %","Calories C","Avg Temperature","Best Pace min/km","Max Run Cadence spm","Moving Time","Avg Moving Pace min/km","Avg Step Speed Loss cm/s","Avg Step Speed Loss Percent %"
"1","7:20.6","7:20.6","1.00","7:21","7:23","115","125","3","1","249","3.23","346","4.49","162","291","--","0.83","8.1","9.9","69","--","5:23","188","7:20.6","7:21","--","--"
"2","6:58.7","14:19","1.00","6:59","6:57","123","128","1","0","267","3.47","286","3.71","159","295","--","0.90","8.7","9.6","74","--","6:37","163","6:58","6:58","--","--"
"3","6:43.5","21:03","1.00","6:44","6:48","130","137","0","4","270","3.51","284","3.69","160","293","--","0.93","8.8","9.5","75","--","6:23","167","6:43.5","6:43","--","--"
"4","6:49.4","27:52","1.00","6:49","6:49","136","138","1","1","271","3.52","303","3.94","161","291","--","0.91","8.7","9.5","80","--","6:20","170","6:49","6:49","--","--"
"5","6:48.4","34:41","1.00","6:48","6:59","139","150","2","1","264","3.43","512","6.65","159","297","--","0.89","8.5","9.6","78","--","3:53","190","6:48.4","6:48","--","--"
"6","7:08.2","41:49","1.00","7:08","7:08","144","159","1","1","259","3.36","379","4.92","158","301","--","0.89","8.6","9.8","79","--","4:47","192","7:08","7:08","--","--"
"7","0:06.6","41:55","0.02","6:45","6:45","144","144","0","0","272","3.53","273","3.55","160","292","--","0.93","8.8","9.5","1","--","6:43","161","0:05","5:09","--","--"
"Summary","41:55","41:55","6.02","6:58","7:01","131","159","9","9","263","3.42","512","6.65","160","295","--","0.89","8.6","9.6","457","--","3:53","192","41:53","6:58","--","--"
