"Laps","Time","Cumulative Time","Distance km","Avg Pace min/km","Avg GAP min/km","Avg HR bpm","Max HR bpm","Total Ascent m","Total Descent m","Avg Power W","Avg W/kg","Max Power W","Max W/kg","Avg Run Cadence spm","Avg Ground Contact Time ms","Avg GCT Balance %","Avg Stride Length m","Avg Vertical Oscillation cm","Avg Vertical Ratio %","Calories C","Avg Temperature","Best Pace min/km","Max Run Cadence spm","Moving Time","Avg Moving Pace min/km","Avg Step Speed Loss cm/s","Avg Step Speed Loss Percent %"
"1","6:17.2","6:17.2","1.00","6:17","6:23","123","141","3","3","315","4.09","407","5.29","170","271","--","0.92","8.2","8.9","69","--","5:14","185","6:17","6:17","--","--"
"2","6:29.2","12:46","1.00","6:29","6:29","130","138","1","3","303","3.94","325","4.22","167","278","--","0.93","8.5","9.1","77","--","6:15","172","6:29.2","6:29","--","--"
"3","6:28.0","19:14","1.00","6:28","6:30","137","140","0","1","294","3.82","331","4.30","169","276","--","0.92","8.4","9.1","77","--","6:08","171","6:28.0","6:28","--","--"
"4","6:10.6","25:25","1.00","6:11","6:14","143","149","0","1","282","3.66","306","3.97","169","272","--","0.95","8.5","8.9","78","--","5:48","175","6:10","6:10","--","--"
"5","6:36.1","32:01","1.00","6:36","6:35","146","152","1","1","268","3.48","360","4.68","171","274","--","0.89","8.1","9.1","83","--","5:05","188","6:36","6:36","--","--"
"6","1:45.1","33:46","0.26","6:38","6:51","146","150","0","0","257","3.34","317","4.12","171","276","--","0.85","8.0","9.3","21","--","5:37","184","1:44","6:34","--","--"
"Summary","33:46","33:46","5.26","6:25","6:27","136","152","6","10","290","3.77","407","5.29","169","274","--","0.92","8.3","9.1","405","--","5:05","188","33:44","6:25","--","--"
