"Laps","Time","Cumulative Time","Distance km","Avg Pace min/km","Avg GAP min/km","Avg HR bpm","Max HR bpm","Total Ascent m","Total Descent m","Avg Power W","Avg W/kg","Max Power W","Max W/kg","Avg Run Cadence spm","Avg Ground Contact Time ms","Avg GCT Balance %","Avg Stride Length m","Avg Vertical Oscillation cm","Avg Vertical Ratio %","Calories C","Avg Temperature","Best Pace min/km","Max Run Cadence spm","Moving Time","Avg Moving Pace min/km","Avg Step Speed Loss cm/s","Avg Step Speed Loss Percent %"
"1","6:14.6","6:14.6","1.00","6:15","6:19","124","135","2","1","289","3.75","376","4.88","170","268","--","0.93","8.2","8.8","71","--","5:03","190","6:14","6:14","--","--"
"2","6:19.9","12:34","1.00","6:20","6:21","136","141","0","0","292","3.79","310","4.03","169","275","--","0.94","8.5","9.0","78","--","6:06","177","6:19","6:19","--","--"
"3","6:20.6","18:55","1.00","6:21","6:21","141","144","0","1","288","3.74","305","3.96","167","276","--","0.95","8.6","9.1","78","--","5:57","172","6:20.6","6:21","--","--"
"4","6:34.2","25:29","1.00","6:34","6:36","142","145","0","1","274","3.56","290","3.77","166","281","--","0.92","8.5","9.3","79","--","6:13","169","6:34","6:34","--","--"
"5","6:33.5","32:03","1.00","6:33","6:34","144","148","1","1","278","3.61","312","4.05","165","282","--","0.93","8.6","9.3","79","--","6:12","170","6:33.5","6:33","--","--"
"6","0:35.7","32:38","0.10","5:58","6:21","147","148","0","0","286","3.71","296","3.84","166","278","--","0.95","8.7","9.1","7","--","6:07","169","0:34","5:41","--","--"
"Summary","32:38","32:38","5.10","6:24","6:26","138","148","3","4","284","3.69","376","4.88","167","277","--","0.93","8.5","9.1","392","--","5:03","190","32:35","6:23","--","--"
