"Laps","Time","Cumulative Time","Distance km","Avg Pace min/km","Avg GAP min/km","Avg HR bpm","Max HR bpm","Total Ascent m","Total Descent m","Avg Power W","Avg W/kg","Max Power W","Max W/kg","Avg Run Cadence spm","Avg Ground Contact Time ms","Avg GCT Balance %","Avg Stride Length m","Avg Vertical Oscillation cm","Avg Vertical Ratio %","Calories C","Avg Temperature","Best Pace min/km","Max Run Cadence spm","Moving Time","Avg Moving Pace min/km","Avg Step Speed Loss cm/s","Avg Step Speed Loss Percent %"
"1","6:48.2","6:48.2","1.00","6:48","6:51","123","138","1","1","264","3.43","301","3.91","172","273","--","0.84","7.8","9.2","73","--","6:13","181","6:48.2","6:48","--","--"
"2","6:23.7","13:12","1.00","6:24","6:24","134","137","0","0","282","3.66","302","3.92","172","271","--","0.91","8.2","9.0","77","--","6:00","178","6:23.7","6:24","--","--"
"3","6:23.6","19:35","1.00","6:24","6:26","137","142","0","3","282","3.66","305","3.96","170","273","--","0.92","8.3","9.0","78","--","6:03","175","6:23.6","6:24","--","--"
"4","6:26.7","26:02","1.00","6:27","6:26","142","146","0","0","282","3.66","312","4.05","168","276","--","0.93","8.4","9.1","80","--","5:54","176","6:26","6:26","--","--"
"5","6:26.9","32:29","1.00","6:27","6:31","148","159","1","1","281","3.65","359","4.66","167","278","--","0.92","8.4","9.2","80","--","5:09","185","6:26.9","6:27","--","--"
"6","1:52.5","34:21","0.31","6:04","6:09","152","153","0","0","295","3.83","394","5.12","170","271","--","0.96","8.4","8.8","25","--","4:53","181","1:52","6:02","--","--"
"Summary","34:21","34:21","5.31","6:28","6:30","137","159","2","5","279","3.62","394","5.12","170","274","--","0.91","8.2","9.1","415","--","4:53","185","34:20","6:28","--","--"
