"Laps","Time","Cumulative Time","Distance km","Avg Pace min/km","Avg GAP min/km","Avg HR bpm","Max HR bpm","Total Ascent m","Total Descent m","Avg Power W","Avg W/kg","Max Power W","Max W/kg","Avg Run Cadence spm","Avg Ground Contact Time ms","Avg GCT Balance %","Avg Stride Length m","Avg Vertical Oscillation cm","Avg Vertical Ratio %","Calories C","Avg Temperature","Best Pace min/km","Max Run Cadence spm","Moving Time","Avg Moving Pace min/km","Avg Step Speed Loss cm/s","Avg Step Speed Loss Percent %"
"1","7:16.9","7:16.9","1.00","7:17","7:18","122","128","2","0","251","3.26","305","3.96","171","279","--","0.80","7.7","9.6","72","--","6:03","182","7:16.9","7:17","--","--"
"2","6:57.9","14:15","1.00","6:58","7:03","126","134","1","3","260","3.38","287","3.73","168","282","--","0.85","8.1","9.5","74","--","6:34","173","6:57","6:57","--","--"
"3","6:54.4","21:09","1.00","6:54","6:56","125","129","0","1","264","3.43","283","3.68","166","284","--","0.88","8.3","9.5","74","--","6:34","171","6:54.4","6:54","--","--"
"4","6:55.8","28:05","1.00","6:56","6:56","129","134","0","0","264","3.43","289","3.75","164","287","--","0.88","8.4","9.5","75","--","6:26","174","6:55.8","6:56","--","--"
"5","7:17.1","35:22","1.00","7:17","7:18","130","132","2","3","253","3.29","279","3.62","162","293","--","0.85","8.3","9.8","74","--","6:46","167","7:17","7:17","--","--"
"6","2:21.7","37:44","0.33","7:11","7:18","132","134","0","0","252","3.27","261","3.39","161","294","--","0.85","8.4","9.8","24","--","7:02","167","2:20","7:05","--","--"
"Summary","37:44","37:44","5.33","7:05","7:07","127","134","5","8","258","3.35","305","3.96","166","286","--","0.85","8.2","9.6","394","--","6:03","182","37:41","7:04","--","--"
