"Laps","Time","Cumulative Time","Distance km","Avg Pace min/km","Avg GAP min/km","Avg HR bpm","Max HR bpm","Total Ascent m","Total Descent m","Avg Power W","Avg W/kg","Max Power W","Max W/kg","Avg Run Cadence spm","Avg Ground Contact Time ms","Avg GCT Balance %","Avg Stride Length m","Avg Vertical Oscillation cm","Avg Vertical Ratio %","Calories C","Avg Temperature","Best Pace min/km","Max Run Cadence spm","Moving Time","Avg Moving Pace min/km","Avg Step Speed Loss cm/s","Avg Step Speed Loss Percent %"
"1","8:11.2","8:11.2","1.00","8:11","8:10","109","121","1","3","249","3.23","341","4.43","162","297","--","0.75","7.8","10.4","67","--","6:00","179","8:10","8:10","--","--"
"2","7:39.5","15:51","1.00","7:40","7:43","120","125","4","5","262","3.40","294","3.82","161","297","--","0.81","8.2","10.1","72","--","7:05","168","7:39.5","7:40","--","--"
"3","7:27.9","23:19","1.00","7:28","7:32","120","126","1","2","260","3.38","310","4.03","159","297","--","0.84","8.3","9.9","72","--","6:07","167","7:26","7:26","--","--"
"4","7:33.6","30:52","1.00","7:34","7:32","118","125","0","1","237","3.08","276","3.58","162","295","--","0.82","8.2","10.0","72","--","6:41","168","7:33","7:33","--","--"
"5","7:38.4","38:31","1.00","7:39","7:42","124","129","2","2","234","3.04","266","3.45","160","299","--","0.81","8.2","10.1","73","--","7:02","169","7:38.4","7:38","--","--"
"6","2:28.8","40:59","0.33","7:26","7:37","124","126","0","0","237","3.08","251","3.26","161","297","--","0.81","8.2","10.1","23","--","7:04","167","2:27","7:21","--","--"
"Summary","40:59","40:59","5.33","7:41","7:43","118","129","8","13","248","3.22","341","4.43","161","297","--","0.81","8.1","10.1","380","--","6:00","179","40:54","7:40","--","--"
