"Laps","Time","Cumulative Time","Distance km","Avg Pace min/km","Avg GAP min/km","Avg HR bpm","Max HR bpm","Total Ascent m","Total Descent m","Avg Power W","Avg W/kg","Max Power W","Max W/kg","Avg Run Cadence spm","Avg Ground Contact Time ms","Avg GCT Balance %","Avg Stride Length m","Avg Vertical Oscillation cm","Avg Vertical Ratio %","Calories C","Avg Temperature","Best Pace min/km","Max Run Cadence spm","Moving Time","Avg Moving Pace min/km","Avg Step Speed Loss cm/s","Avg Step Speed Loss Percent %"
"1","6:01.9","6:01.9","1.00","6:02","6:04","129","145","0","1","295","3.83","348","4.52","172","268","--","0.97","8.4","8.7","69","--","4:56","198","6:01.9","6:02","--","--"
"2","5:49.9","11:52","1.00","5:50","5:49","142","145","1","0","310","4.03","330","4.29","165","274","--","1.04","9.1","8.7","75","--","5:37","171","5:49.9","5:50","--","--"
"3","5:56.1","17:48","1.00","5:56","5:57","144","149","0","1","306","3.97","339","4.40","167","273","--","1.01","8.9","8.8","75","--","5:47","171","5:56","5:56","--","--"
"4","6:38.2","24:26","1.00","6:38","6:40","144","148","0","1","279","3.62","324","4.21","166","282","--","0.91","8.5","9.3","80","--","5:54","171","6:38","6:38","--","--"
"5","6:25.3","30:51","1.00","6:25","6:27","146","155","1","1","289","3.75","332","4.31","167","279","--","0.93","8.5","9.2","78","--","5:44","172","6:25","6:25","--","--"
"6","0:06.6","30:58","0.02","5:52","5:42","155","156","0","0","329","4.27","330","4.29","169","267","--","1.04","8.9","8.5","2","--","5:41","170","0:06","5:22","--","--"
"Summary","30:58","30:58","5.02","6:10","6:11","141","156","2","4","296","3.84","348","4.52","167","275","--","0.97","8.7","8.9","379","--","4:56","198","30:57","6:10","--","--"
