"Laps","Time","Cumulative Time","Distance km","Avg Pace min/km","Avg GAP min/km","Avg HR bpm","Max HR bpm","Total Ascent m","Total Descent m","Avg Power W","Avg W/kg","Max Power W","Max W/kg","Avg Run Cadence spm","Avg Ground Contact Time ms","Avg GCT Balance %","Avg Stride Length m","Avg Vertical Oscillation cm","Avg Vertical Ratio %","Calories C","Avg Temperature","Best Pace min/km","Max Run Cadence spm","Moving Time","Avg Moving Pace min/km","Avg Step Speed Loss cm/s","Avg Step Speed Loss Percent %"
"1","7:09.6","7:09.6","1.00","7:10","7:13","126","142","1","1","251","3.26","313","4.06","169","281","--","0.82","7.8","9.5","72","--","5:44","215","7:09.6","7:10","--","--"
"2","6:24.0","13:34","1.00","6:24","6:27","122","134","0","0","280","3.64","317","4.12","167","278","--","0.93","8.5","9.1","73","--","5:45","176","6:23","6:23","--","--"
"3","6:41.0","20:15","1.00","6:41","6:42","126","132","0","1","271","3.52","305","3.96","168","279","--","0.89","8.3","9.3","75","--","6:03","174","6:41.0","6:41","--","--"
"4","6:44.4","26:59","1.00","6:44","6:41","129","143","1","0","274","3.56","362","4.70","170","276","--","0.88","8.1","9.3","77","--","5:08","179","6:44.4","6:44","--","--"
"5","6:31.4","33:30","1.00","6:31","6:37","135","146","1","1","280","3.64","427","5.55","172","273","--","0.88","8.0","9.2","74","--","4:23","198","6:31","6:31","--","--"
"6","1:27.9","34:58","0.23","6:24","6:11","144","148","0","0","298","3.87","380","4.94","168","275","--","0.96","8.6","8.9","19","--","4:52","186","1:27","6:20","--","--"
"Summary","34:58","34:58","5.23","6:41","6:43","128","148","3","3","272","3.53","427","5.55","169","277","--","0.88","8.1","9.3","391","--","4:23","215","34:56","6:41","--","--"
